SOC1_SC1,SOC1_G1
0.3304,9112.4512
0.3336,9732.6875
0.4007,13051.4228
0.3648,10699.8098
0.375,9822.2237
0.2406,9159.5919
0.416,10575.9231
0.3274,9524.0526
0.3107,10528.5415
0.3503,9614.478
0.4691,10368.3441
0.3422,9805.7319
0.3602,9954.2339
0.3328,9437.0635
0.3621,10675.6279
0.3265,10185.2245
0.3333,10489.7677
0.3652,8830.1902
0.3193,8821.1898
0.383,10636.5743
0.3607,9822.6286
0.4021,10711.8478
0.3321,10718.3398
0.3742,10242.0186
0.3653,10253.6781
0.3581,9875.0567
0.3415,10801.289
0.4112,9407.3663
0.3774,11086.1474
0.4073,9695.0624
0.3479,13634.3131
0.4016,10376.2782
0.3587,10466.5802
0.3746,9869.4875
0.4249,9462.8269
0.3824,10482.2168
0.4236,9449.0
0.3087,10188.95
0.3761,9443.6878
0.377,9772.0492
0.38,9465.4956
0.3142,8320.5674
0.3835,10075.5447
0.3508,9396.45
0.3523,9917.9286
0.3976,9369.2205
0.3496,10011.5672
0.3842,10881.0134
0.3919,9474.6262
0.4043,9611.5534
0.3325,9954.9574
0.3638,10762.3008
0.3367,10565.8046
0.3572,9188.3516
0.4116,9096.7667
0.3525,10327.5962
0.3661,10806.5451
0.4113,10676.3363
0.3601,10351.9352
0.3675,10470.4606
0.3515,9959.1424
0.2907,10479.1591
0.3876,11615.1872
0.4003,10240.7034
0.3983,9933.844
0.3985,11514.2207
0.3557,9750.0484
0.2826,10282.6562
0.4003,10299.0625
0.4026,10374.462
0.3788,10206.9317
0.3833,9140.5891
0.4273,9839.8144
0.3149,10062.0123
0.3281,9846.7967
0.3962,11029.593
0.3497,10535.5129
0.4099,10398.9312
0.3934,8226.8667
0.3812,9367.6307
0.3406,10273.5041
0.3412,10328.2235
0.361,10335.2291
0.3214,9773.0712
0.3546,8863.5567
0.3934,11054.2975
0.4093,10921.2902
0.3554,9999.7122
0.3969,10275.6643
0.3881,10201.3182
0.3325,10037.3296
0.3511,10570.1184
0.3818,10212.6819
0.3612,10557.6892
0.3733,9314.9004
0.3525,11726.7233
0.3635,10026.9028
0.3653,10338.9154
0.3439,10629.5749
0.3344,10725.7327
0.3614,9951.4388
0.3799,11048.7527
0.3547,9078.4196
0.3075,9183.9574
0.3602,9525.8471
0.4162,11765.0533
0.3803,10668.7396
0.4089,9758.8755
0.3496,8841.0517
0.3607,10294.5608
0.4002,11843.1032
0.3239,9661.4542
0.2946,7845.0539
0.29,9691.4883
0.3149,9646.4369
0.3214,11947.5217
0.343,9589.0434
0.3838,10818.7898
0.3589,8913.9475
0.3787,10042.9359
0.37,9237.1981
0.3828,10527.8587
0.3877,10072.3281
0.3224,9050.2072
0.3149,9447.0296
0.3419,11316.4078
0.2763,10080.3286
0.3522,7992.2585
0.2789,9127.7129
0.4137,10639.8994
0.3578,8992.8978
0.3622,8709.5484
0.3693,10279.1983
0.3803,9716.451
0.401,10293.6745
0.3633,10227.3172
0.3325,10319.789
0.3835,11202.6225
0.3364,8086.681
0.3599,10112.5035
0.3485,10467.374
0.3695,8514.3405
0.3912,9976.4643
0.3612,10504.8634
0.3347,11385.4072
0.3365,8663.0406
0.3347,9893.586
0.3119,9430.2337
0.3978,10946.7335
0.3613,10382.5969
0.3668,10385.6858
0.365,11265.3079
0.3647,10010.5451
0.3648,9060.9953
0.3407,9301.368
0.3406,10174.8494
0.3929,10045.3254
0.3574,10418.4038
0.4051,10327.4042
0.3595,10618.3221
0.3785,8821.8265
0.3511,9554.7247
0.34,10211.3022
0.3528,9828.9296
0.3202,10283.125
0.33,9080.8846
0.3716,9881.2022
0.3711,10813.7246
0.3632,10479.9935
0.3175,8823.7265
0.3584,9053.9058
0.3946,10380.0662
0.3555,9986.8805
0.3628,10154.6824
0.4003,10679.0769
0.3879,9736.44
0.3788,10424.0787
0.3728,9692.5225
0.3582,10916.2703
0.3375,10694.0491
0.3501,9464.9185
0.2129,9706.5347
0.2568,8189.8889
0.3418,10249.602
0.3676,11852.6909
0.3867,10664.3638
0.4251,10123.8655
0.3706,10107.0708
0.3065,9933.8655
0.3441,9890.5294
0.3899,9572.6446
0.353,10052.3075
0.371,10424.144
0.3015,8752.2214
0.3714,9570.0
0.3162,9101.2166
0.293,9050.3526
0.399,10068.3182
0.3687,9524.3745
0.4069,9912.1551
0.3505,9944.7591
0.3674,8829.2047
0.3403,10897.3121
0.3306,9928.7195
0.3679,10784.5812
0.4021,9197.5926
0.4145,9798.9554
0.3671,10014.2282
0.3852,8947.7247
0.419,10533.7121
0.379,10705.1162
0.3699,9592.6621
0.3844,8873.9752
0.3161,11075.0649
0.3634,9496.1067
0.361,9434.6651
0.397,11545.1256
0.4309,11055.8178
0.3826,9430.5433
0.326,9257.7843
0.3742,9226.033
0.3849,10742.4581
0.3312,9027.88
0.3313,9812.2719
0.349,9574.6705
0.387,9792.9364
0.3081,9659.4552
0.365,9774.57
0.3709,10161.2179
0.3267,9509.1123
0.3831,10429.7185
0.384,9825.1818
0.3531,9935.9917
0.3946,10716.0472
0.3276,10112.5022
0.3718,9729.5363
0.3685,10200.8942
0.363,10211.1667
0.3905,9254.3953
0.3457,9731.0467
0.317,9410.0258
0.3694,9389.0938
0.3582,9853.1102
0.306,10093.0286
0.3891,10941.4296
0.3784,11005.7538
0.388,9791.257
0.4284,9754.5458
0.3611,10233.2655
0.3638,10933.7766
0.4118,10183.6198
0.4203,10776.8954
0.3649,10321.0
0.2984,10616.6623
0.357,8384.83
0.3456,9632.8282
0.4668,10273.4697
0.3696,9619.9128
0.334,9399.0631
0.3653,10069.1696
0.3722,9970.432
0.3876,8903.7093
0.3392,9687.4945
0.3876,11306.0542
0.405,9776.4065
0.3839,9708.7071
0.3651,9786.303
0.4245,10054.9699
0.2963,9432.2414
0.4071,10394.7692
0.3861,9605.933
0.3643,9959.4325
0.3676,10912.5862
0.424,10040.4919
0.4427,9599.6477
0.3486,8536.4685
0.4284,9626.4087
0.3465,9593.5664
0.3756,10470.0893
0.3809,10489.5
0.2815,9934.8629
0.3929,11614.8528
0.3335,9229.5698
0.3793,8467.4101
0.3591,9973.4098
0.3277,9050.7492
0.3564,8970.3818
0.3606,10201.0456
0.3644,10365.0751
0.3467,9584.244
0.4289,9722.3412
0.3457,10297.553
0.2964,9534.6549
0.3556,11481.8909
0.3554,10229.518
0.3974,10700.6922
0.4327,9882.4167
0.3312,9111.9646
0.4059,9615.3592
0.3137,8810.776
0.3276,8929.5222
0.3761,9960.5122
0.3155,10200.0471
0.4073,10541.2222
0.373,9705.3803
0.3468,9815.2482
0.3592,9368.0427
0.3833,10724.8527
0.3491,9280.5415
0.376,10780.4034
0.4232,10780.2174
0.3402,9254.1483
0.3817,10089.0538
0.3046,9069.4017
0.3709,9598.1619
0.348,10661.9619
0.4055,8747.3136
0.3466,11293.8681
0.3576,10674.926
0.3286,9682.8875
0.3716,11226.6618
0.3242,9019.4899
0.3526,10700.4051
0.3437,10547.1435
0.4104,10630.6258
0.3579,9923.7425
0.3695,10102.8035
0.3567,10474.7981
0.3892,11010.4351
0.3398,10504.354
0.3926,10339.0917
0.2864,7705.6809
0.3637,9790.3282
0.402,10568.556
0.4005,10561.8652
0.4169,9227.6345
0.229,7701.1024
0.3753,9494.8254
0.3802,10648.1821
0.357,9602.1681
0.3643,9270.5206
0.3525,9799.1778
0.3902,10821.9844
0.3103,9340.9387
0.3618,9434.4042
0.3985,10870.72
0.3506,10540.611
0.2776,8454.4685
0.3569,10664.609
0.3429,10704.4847
0.3915,11044.2835
0.3602,10072.7791
0.351,9016.1494
0.2962,8052.386
0.3453,9502.2667
0.3622,10232.6573
0.3431,10902.0782
0.3704,9580.8805
0.3867,10191.3416
0.2742,13774.879
0.3279,9489.9501
0.3886,9675.5954
0.3519,8535.0
0.3511,11004.4553
0.3326,8742.2029
0.3846,10275.8862
0.3573,9956.541
0.3327,10893.3333
0.3857,10129.3549
0.3821,9796.4251
0.3515,9836.1426
0.3739,10516.4372
0.3819,10273.2935
0.2629,10621.0
0.3814,9191.8875
0.3888,9413.3133
0.3722,9664.2219
0.3555,10310.6183
0.3842,10105.9617
0.3913,10656.0217
0.3846,11858.8598
0.3906,10214.4742
0.3824,9502.2992
0.3225,10088.7245
0.3814,10109.7114
0.3041,8018.0455
0.4329,10375.9549
0.4028,12272.4737
0.3612,10631.9904
0.3153,9935.8554
0.4299,9835.8788
0.4092,10553.3449
0.3416,9239.4281
0.3357,9774.2364
0.3226,9354.4159
0.3968,10597.7905
0.3913,10803.6993
0.3383,9721.0172
